pop,sex,family,l_1,w_1,a_1,bod_1,l_4,w_4,a_4,bod_4,l_7,w_7,a_7,bod_7,l_10,w_10,a_10,bod_10,l_13,w_13,a_13,bod_13
Juneau,0,5,1.6541776657,1.5485745327,1.6464327353,14.1747316265,5.4988551875,4.9593932695,9.282861819,61.0829845028,10.6998559185,9.962694741,24.3821694271,143.2870915912,19.2120073275,17.881458047,61.3406062411,326.8221593699,29.5614484424,28.2876197596,118.9134322736,592.1661728814
Juneau,0,5,1.748379637,1.6294096639,1.8207533213,15.4167702545,5.5129254302,5.1561864283,9.7083154764,63.2972818134,10.8217673617,10.6391415358,26.5402635382,154.590437178,19.4194890123,19.3391953253,68.3844927221,360.3363392585,30.1712764488,30.0509829586,132.9636583108,654.6895422404
Juneau,0,6,1.6659504477,1.4258129996,1.5603617305,13.5225972705,5.5234514293,5.0714482732,9.6816352841,63.316315182,10.9129805771,10.342399772,26.5671249774,154.6260602222,19.4036337209,18.2279566184,64.5050301298,342.0920280396,30.1489715862,28.1167335002,127.2405497992,629.2348282653
Juneau,0,6,1.6066723886,1.7074002527,1.7484807708,14.863808354,5.5521998047,5.7229149463,10.7564718183,69.5032207723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Juneau,0,6,1.5412022264,1.3461048343,1.4206029344,12.7047226871,5.2234409125,4.8338446965,8.6077688092,56.9509879127,10.2545645274,10.1330495344,23.6003892934,139.239778985,18.4192692651,17.8843598792,59.699920615,319.0212256258,28.6341095042,27.7738757142,116.7682996048,582.6089675621
Juneau,0,7,1.6688351478,1.3808906373,1.5445480104,13.4149216948,5.6439849056,4.9249371435,9.6868992028,63.2891617346,11.1410366211,10.4566169514,27.4039368382,159.1191026865,20.1183670557,17.9428294151,67.2361654201,354.9048819489,31.0072970014,28.768858451,130.4004146216,643.2982190883
Juneau,0,7,1.6064213466,1.4100367207,1.460664678,12.910561079,5.0774821821,4.6300500204,8.1477262602,54.4500982408,9.9225168807,9.0245532347,21.4351327415,127.6542139186,17.9135054115,17.1651631212,55.2980450484,297.9036402673,27.8305554632,26.5924433136,109.8967546752,551.730520195
Juneau,0,8,1.3525296926,1.2185846513,1.0376053124,9.9060987411,4.5533498573,4.1473081608,6.2587447899,43.3018238572,9.2908412816,8.5227060744,17.9525260745,109.0802539122,17.2701380528,15.7151896647,47.7712944239,261.4115332934,27.1001158918,23.8279833722,90.827366916,464.8890406129
Juneau,0,8,1.4871025897,1.3635778771,1.2870723778,11.7166907538,4.8117079029,4.2917129259,7.2626347151,49.3206066677,9.8510506243,8.7474659841,20.2720015039,121.5753395353,17.7738716237,16.2296992698,52.1660309281,282.6451500844,27.756839393,26.4592588354,108.759380794,546.5561263906
Juneau,0,8,1.4427892963,1.05390958,0.9813126127,9.6500301657,4.7106919524,3.8233707413,6.0500113346,41.8714524822,9.4822531571,8.0037944644,16.2778904817,100.1082460388,17.5218462974,15.2090796071,45.0924951065,248.1070562713,27.4429941658,24.539668387,91.4044003524,467.6309200924
Juneau,0,9,1.4820489867,1.6075614839,1.5653810819,13.5567540754,5.0125737679,5.0811904779,8.8759763198,58.6780270736,9.8185208442,9.1573115193,21.974707614,130.5652036306,17.7864768147,16.8520661663,54.1361683289,292.386229018,27.7535453974,27.0593278,106.62220103,536.8581472851
Juneau,0,9,1.944945316,1.7268038513,2.1896707161,17.8045640055,6.1353967619,5.5734489899,12.2365704314,77.8476604007,11.7068379035,10.3853204566,30.2744281594,173.7977406446,21.1239502116,18.508718412,74.4843948424,388.9929190905,32.1081917482,27.7115589436,141.0604889836,690.3476171554
Juneau,0,9,1.9999928434,2.0227980533,2.7592878571,21.5885549252,6.3137375591,6.2272003473,14.5138182638,90.2776943251,12.1872012576,11.6336713042,37.0917256108,208.4231932397,21.7032727446,21.2805332654,91.892999124,469.7358246688,33.3078652878,32.6064852192,173.3865935696,831.0104471025
Juneau,0,10,1.5878456416,1.3297621829,1.4555108643,12.8068460216,5.1636634387,4.6966838788,8.3779816588,55.7906871347,10.1268779299,9.6011351107,23.100781699,136.5075321493,18.205907708,16.8101038793,56.7392329994,304.9474317724,28.5282788264,27.7307044228,115.7663777172,578.0285230231
Juneau,0,10,1.2723814096,1.193018575,0.9489497975,9.350173295,4.7089207322,4.5747033229,6.6786876423,45.8647681802,9.4940721434,8.9858844418,18.8322629115,113.8705726575,17.5062976925,17.3739723018,49.335716252,268.8656413452,27.293089911,27.6976650544,99.2666117092,503.5307287248
Juneau,0,10,1.273506156,1.1883665779,1.0792512332,10.3393818048,4.6043163262,4.1708139631,6.7962364236,46.3253306683,9.6722713355,9.1399678989,20.1388661728,120.9185478587,18.1252623311,15.7803706967,49.2522173521,268.5067784369,28.2948258174,24.6619437374,92.78490772,473.9640932546
Juneau,0,11,1.4558995475,1.052627198,0.9231918556,9.09623473,5.0990961329,4.5186394235,7.3443107329,49.6840097346,9.9905526401,8.8517223617,19.3406115584,116.7045646612,18.3765676283,16.7595388142,50.8263893051,276.1812560573,28.6081340918,26.411121234,103.168127812,521.2616827784
Juneau,0,11,1.8779413209,1.5148034524,1.8771098345,15.7273638079,5.7112094119,4.7821778077,9.8042182376,64.0186737343,11.130744699,9.3924809026,25.577950058,149.4288328349,20.0721073926,17.0834539911,64.8204163387,343.4957587012,30.8440278282,27.3935674086,125.9553633876,623.6119919997
Juneau,0,12,1.454899361,1.4130677627,1.3240157985,11.9028476479,4.8750854753,4.8652897255,7.9570864878,53.3373805073,9.7632458087,9.9274033992,22.0103124515,130.7535451911,17.8969996295,17.9225418012,55.1092371478,297.0887007062,27.8064829084,27.5356627266,107.3680889512,540.2292232135
Juneau,0,12,1.5895266382,1.2347707205,1.286115968,11.710076735,5.0909742494,4.853733919,8.2078409653,54.8587032022,10.1503838091,9.673199261,22.0906222376,131.2311285408,18.3821394089,17.003334732,56.643891509,304.2957712158,28.5884348782,25.3753653226,109.7458746428,551.0053141406
Juneau,0,12,1.3368462947,1.3903415692,1.3267998175,12.0600142367,4.6037648534,4.5426999762,8.0033585509,53.432456553,9.2921231957,9.0158319512,22.6359421742,134.1636043093,17.0807359286,16.1545916085,57.2168512532,307.1015851698,26.9433573246,26.095473257,114.0312460584,570.3318904438
Juneau,0,13,2.1348672067,2.0364293511,2.7601821268,21.4650686396,6.2253286597,5.7699448083,13.2389634166,83.3866523471,12.0973871238,11.8481213379,35.4439986756,200.0283440688,21.8193542273,20.6084144679,87.0503033556,447.5929097505,33.205658691,32.7255965236,170.6984463612,819.3376243338
Juneau,0,13,0.8229291837,0.7231022574,0.3878475662,5.2553255926,3.701098576,3.3210573733,4.3230425428,31.5932459712,7.8601348174,7.7951015284,14.1329217998,88.2861228227,15.0899543705,15.0980202512,38.8325905823,216.9963245419,24.314971371,24.7241188436,84.0094847216,433.4933480644
Juneau,0,13,1.6479848543,1.3351116391,1.4192421829,12.6953966394,5.6521946441,4.6689165187,8.977013953,59.088596542,10.9643157471,9.0212834199,23.9264264594,140.9511323711,19.6978192109,16.043856917,59.678639699,318.9192820797,30.4229409904,25.2195855146,115.6827087292,577.7430135665
Juneau,0,14,1.7482517603,1.7796998349,2.1267723926,17.3226246509,5.5896940794,5.5777837289,11.3891466515,73.0265603026,10.8542240433,10.4392345126,28.7052462341,165.6835323523,19.7809914977,18.7820591837,70.2984691492,369.5105122388,30.4952853932,28.0631378736,134.8120975988,662.7703538978
Juneau,0,14,1.51322028,0.9738279431,0.8925355791,8.9491837766,5.3938424795,4.0485564921,7.1918949968,48.9034323315,10.5363318217,8.2088574408,18.9898198767,114.7164989311,19.1713424976,16.3159017582,52.8141273028,285.7898255175,29.5105700792,26.0887251332,105.32953285,531.0555534129
Juneau,0,14,1.6742378335,1.4349866288,1.6341332708,14.1591622577,5.6957442271,5.5109367002,10.8947811664,70.0607895299,10.9279677702,10.6407408659,28.6303317875,165.4005853303,19.4955856098,19.7129016902,72.4027051537,379.2715999415,30.042311678,30.7320861062,142.5102461792,696.7622087453
Juneau,0,15,0.9950352207,0.7967918868,0.5723567177,6.557788815,3.9849610676,3.6357367268,5.2524100431,37.234207966,8.5288188552,8.2994084996,16.4593395412,100.9874986428,15.9701844978,15.2202945572,43.4155636388,239.9793628707,25.4452755336,25.3827695798,91.7263163484,469.0167906156
Juneau,0,15,1.3836234935,1.1438449189,0.9921363315,9.6558503433,4.796155646,4.1129205443,6.415865237,44.300000454,968.71840776,891.73165291,1862.67925332,11276.6347483043,17.671977713,15.7096708739,46.7369576957,256.1440636027,27.488831876,24.7150401104,94.936096044,483.7684231747
Juneau,0,15,1.8541634689,1.8195351721,2.2813985075,18.4746928933,5.6493698997,5.2709175514,11.1957796362,71.764881808,10.8893915979,9.8852107064,28.2302908916,163.3377417619,19.4700944796,16.4802544016,64.7693360726,343.205546176,30.0226478946,25.7200647678,125.5337900312,621.737154654
Juneau,0,16,1.9047825668,1.7583908785,2.2615528527,18.2125379803,5.868609733,5.3730275829,11.3759979405,72.9523578673,11.4454887607,10.742170729,30.3939216821,174.3587637104,20.7094311924,19.2888762135,77.4032286137,402.8306406189,31.8756277486,30.0919752002,150.903365116,733.4316411042
Juneau,0,16,1.6652954373,1.2575243362,1.3740244089,12.3163060996,5.4666417204,5.0541444535,9.2676964898,60.9956844228,10.3902050635,9.5003808287,23.5399321697,138.8696466219,18.4930136634,17.2550007422,57.1719404473,306.8374186417,28.4353087498,26.4491478858,110.4153675808,554.0225213332
Juneau,0,16,1.1871181023,1.119448529,0.8816052774,8.9425547175,4.6451899025,4.5389498145,7.1713047972,48.5457983647,9.3536606088,8.9579674397,19.3983591401,116.9602972083,17.1445266011,16.335880347,48.8028157396,266.3113848517,26.993239693,25.5404389776,98.2796588408,499.0800498357
Juneau,0,17,1.4172407324,1.2311665214,1.1142842378,10.4447338612,4.6210894655,4.0588711539,6.4974707456,44.7269187581,9.2911785086,8.6728329075,19.4035237392,116.8808465478,17.0690702859,15.7346135406,49.7837078854,271.2469451677,26.5674599166,23.8002813454,98.0089871568,497.7549944444
Juneau,0,17,1.6583686089,1.3617619994,1.4622299122,12.9212684995,5.6073676604,4.7768112408,9.100622024,60.0329862114,10.8253656083,9.442702989,24.5564991655,144.199529821,19.2073423644,16.361301968,58.8099121713,314.706670326,29.5435230588,26.0822936716,111.9067918808,560.7373885651
Juneau,0,17,1.4882135625,1.2291981956,1.2784625326,11.7263035815,4.6622407191,4.2844107627,7.1670107447,48.5204416106,9.4386614227,8.3823262022,18.2731107047,110.9166598747,17.2262034702,15.1227912104,45.7067259549,251.1307069122,27.0676750782,23.7209409574,92.5275247396,472.7840476834
Juneau,0,18,1.4932831161,1.4903710833,1.3864179794,12.3327654759,5.1120927822,4.7608473446,8.1210966394,54.2948205752,9.8605843166,9.0514984307,21.4483937373,127.7775712518,18.0583876278,16.2482429696,54.4707458802,294.00405649,28.2006878828,24.9445151666,106.8717884188,537.9864304817
Juneau,0,18,1.6744556942,1.3803938915,1.5321051411,13.3982796577,5.3374687822,4.9654008719,9.4343381744,61.9542100407,10.3402344225,9.501585488,24.9909154202,146.470476976,18.7222851068,17.2124667417,61.317110698,326.7099085,29.2209788908,26.3317445282,117.350215694,585.170654963
Juneau,0,18,1.496492548,1.3825434404,1.320369627,12.0156812727,4.8120071201,4.4486653932,7.4439267296,50.152681511,9.6453831027,8.7320412178,20.9068789345,125.0086758275,17.4271485627,14.584029279,50.0838620267,272.56424504,27.2817421182,23.7674208208,100.7769519056,510.448234894
Juneau,0,19,1.5779845994,1.3811727551,1.4306353503,12.6363911816,5.3609159599,5.2091463773,9.6562812988,63.1709376965,10.4325417509,9.5131467124,24.2097536672,142.3316395117,19.0818280826,17.4689010857,60.5779391255,323.3676200526,29.2978685978,26.713479577,117.5490381368,586.0161417266
Juneau,0,19,1.8023331201,1.6074622976,1.8707639375,15.6848861707,5.5395832887,5.3681509629,10.3227193753,67.0371547812,10.8487465266,9.9189264303,26.1612276825,152.5691509639,19.7365706615,17.6535397641,65.0322021362,344.4068194682,30.4439206158,27.6599231632,128.8934725136,636.6168406098
Juneau,0,19,1.4688365332,1.2377157772,1.2697533841,11.666065928,4.9834694883,4.1964338787,7.6598549718,51.4213448006,10.0739172852,8.7597184479,21.0890395342,125.9765939753,18.4753137224,16.5262201095,54.6721874087,294.8326671093,28.979815018,25.7118250356,108.1650302716,543.9187489476
Juneau,0,20,1.4910007019,1.4237740055,1.3536562455,12.1072659577,5.159128664,5.132361729,9.1846486225,60.4021145359,9.9536002133,9.8651125806,23.8071945672,140.37803796,18.3414898254,18.0270994428,60.4634675054,322.6765169267,28.6455238474,27.6735023296,116.4585388064,581.1761715739
Juneau,0,20,1.3122870558,1.0709533529,0.9795071586,9.5665729761,4.6126948417,3.9901047195,6.4699777849,44.5630571022,9.1674125626,7.8572523914,17.5435732293,106.8165642001,17.0686237392,15.1135043427,45.4595518451,249.9636610572,26.7229478758,24.3157459674,90.5048208628,463.4989105142
Juneau,0,21,1.0362118794,1.1549648729,0.7881073352,8.1295461978,3.6767639219,3.6850820158,4.9080308472,35.1331465842,7.9136703738,7.8324347674,15.1168744905,93.6496898862,14.8328422001,14.5769324303,40.0154237226,223.1008599209,23.7389873866,22.7644506196,80.0397312692,415.0234499254
Juneau,0,21,1.3757364577,1.0719709212,0.9744344857,9.5306875236,4.6612215301,3.7544552385,5.9384567679,41.4416819854,9.4553105945,7.8530442454,16.7166899703,102.441626396,17.5710101393,15.4255231452,43.5608687619,240.4999546593,27.4482063174,24.71629506,88.6791099484,455.0542393123
Juneau,0,21,1.2695095143,0.9454180034,0.8039940999,8.3875474138,4.6600990001,3.7688234569,5.7820875088,40.2596840056,9.3587282233,7.7581535185,17.037315575,104.2367471981,17.2570823337,14.0277111792,42.1044205007,233.3381251244,27.1154562066,21.6592049074,84.3575377028,435.1507238755
Juneau,0,22,1.6375926273,1.3752236311,1.4940792709,13.070632647,5.1778096995,4.4946790929,8.451110266,56.2157032728,10.3793507661,9.3280096435,23.2800489446,137.4508517251,18.876703205,17.1116221428,58.2601282205,312.2599011741,29.1976220062,26.7128605356,112.9032571448,565.1738585868
Juneau,0,22,1.0062545601,1.0317110022,0.6917189672,7.5046566317,4.1269241628,3.8840703146,5.4500555967,38.4946690502,8.6692623655,8.5113902207,16.2321446859,99.8044550659,16.1400861774,15.8106742947,42.2518117408,234.0194323932,25.3791921974,24.977734541,86.5831206256,445.3908712213
Juneau,0,22,1.5762489657,1.5379195106,1.5219853361,13.3974634276,4.9607340635,4.8282219909,8.3094524119,55.2174750243,9.8158438793,9.3055067908,22.18272873,131.770863701,17.7778004307,16.2161077854,54.1243317866,292.1838613355,27.5957159446,25.4695179604,105.4924832472,531.8383637829
Juneau,0,23,1.623305894,1.2980435377,1.3315393745,11.9547714314,5.3274618509,4.6067382014,8.02979694,53.7036882283,10.4203764427,9.4527835898,21.9915670476,130.8130731946,18.9466089401,17.2037415212,56.0609826716,301.5355293375,29.438563793,26.7205678012,108.8215587832,546.8366739745
Juneau,0,23,1.5229287799,1.298020876,1.4550756644,12.8723198153,4.8323231575,4.3169179058,7.8515210944,52.720113134,9.6088203754,8.9211078733,22.3323944562,132.4031046067,17.7355254174,15.9706709939,55.9977448615,301.2788903977,27.611406886,24.3122825638,110.2650665448,553.3903774776
Juneau,0,24,1.5897644948,1.6266700361,1.7519955818,14.8201245129,5.1799796759,5.0176743622,9.7168110569,63.460634124,10.3439545898,10.468158041,26.7221627629,155.5863916153,18.8709841899,18.2296875029,64.0155695789,339.6218990027,29.2915263048,27.5776040078,122.0810374152,606.3134748096
Juneau,0,24,1.2862469994,1.1488480925,0.9698257224,9.4980708727,4.5726370582,4.3666517123,6.8280830858,46.6922736429,9.1892850883,8.8037552737,19.3647915539,116.6198201492,17.1569712525,16.635558306,49.4177769515,269.3638707703,26.7603654432,25.871446441,95.3273233536,485.603143697
Juneau,0,25,1.343709126,1.2784824918,1.1142332675,10.4443768587,4.5609082593,4.2974627774,6.6149441084,45.4263279563,9.2731735186,8.2413206954,18.0892454427,109.8178437031,16.7593627526,13.9596446022,44.0563220298,243.1451192214,26.2304013778,22.9178025538,88.9077976384,456.0611582734
Juneau,0,25,1.4967733632,1.1250966021,1.0503492069,10.06619639,4.8383708903,4.0398228871,6.6158368493,45.4911199537,9.9056588624,8.5537453378,19.2339549291,116.0258988764,18.0974243603,14.5202832081,45.7041747449,251.0689621851,28.190543755,23.3669792786,96.1195731404,489.1779821428
Juneau,0,25,1.4047262116,1.0920238217,1.0485755392,10.124032926,4.7075620602,4.1177192217,6.5730850759,44.9986392198,9.3700085517,8.4500233955,17.6259805682,107.4244432928,17.1570075168,15.0738387273,44.0743479233,243.0860016349,26.9631789496,24.3742528458,91.2227058476,466.7966765946
Juneau,0,26,1.8550281359,1.523930694,1.9632599112,16.2361086792,5.4476390896,4.3746130106,9.3981204623,61.6885312072,10.6415215212,8.9633291269,24.7621244756,145.2226655622,19.287520839,17.0272204179,63.7166777947,338.3424862459,29.8626707026,27.4338881586,128.0436194152,632.8009929271
Juneau,0,26,1.5209547043,1.3743408233,1.3634862226,12.2438111844,5.4749264739,5.2856578764,9.7375485356,63.6940826371,10.7297927155,9.7080454138,24.9526219448,146.270452689,19.4607690021,17.7237813228,63.5623674379,337.4176044534,30.0315494888,27.9989931464,123.8545749884,614.2184852491
Juneau,0,26,2.0196515984,1.9770546125,2.6226460748,20.7036375322,6.333015086,6.1409163975,13.875124712,86.749725413,12.0404743148,12.0061239998,36.1853616372,203.8655825703,21.2485465098,20.3851050774,86.0196111953,442.69652491,32.531788131,31.7775803424,163.6626277916,789.0107190595
Juneau,0,27,1.4782775089,1.0755666768,0.924783464,9.107554299,5.4485106468,4.6091186934,8.1673738567,54.5646320899,10.6562773785,9.1574879544,22.3348993567,132.4691535124,19.2018920451,17.1098843588,57.7525669493,309.8216818773,29.8589000122,26.5646249762,114.648395292,573.0128922763
Juneau,0,27,1.679486261,1.4477835128,1.5467887272,13.4982770574,5.0808227463,4.309393974,7.8566150107,52.8084200515,10.1265863737,9.0647886784,22.2976160413,132.3250426375,18.4196729823,17.0584106607,58.832842385,314.8166768515,28.3945922054,26.4170147032,116.220286902,580.1083484782
Juneau,0,27,1.679082383,1.8825971501,2.0682461484,17.0673227107,5.2661101995,5.1124716023,10.2864484924,66.6024889763,10.3667014705,9.6298208062,26.2444154232,153.0535895416,18.8444147301,16.9210004885,65.0466112122,344.522753314,29.1178490604,25.3328702512,121.6949731988,604.6358140964
Juneau,0,28,1.4641605258,1.3556963524,1.3817891739,12.3009333095,4.8502079047,4.4947907829,7.7874427331,52.3450394219,9.7062183417,8.8338802463,20.4646968759,122.5490933716,17.7472407143,15.9240014646,50.2449693158,273.4956769704,27.6547077056,25.9023122406,102.43480575,517.8887920977
Juneau,0,28,1.5728066679,1.5000229414,1.5046302245,13.2109478694,5.2839249858,5.1895379296,9.4367760466,61.9682204359,10.5937180799,10.4863481559,26.3264007238,153.4276901271,19.1069820278,19.222886115,65.2969573574,345.6640750814,29.418607929,30.2866658842,128.3718780356,634.3024179454
Juneau,0,28,1.8532472274,1.6458821578,2.0040279141,16.6408189613,5.8595193135,5.103769042,10.8408610332,69.7550388002,11.3662535735,10.2444780956,29.5318931015,170.0391590178,20.2539007127,19.4503210731,75.7301369207,394.8722801803,31.013407952,29.3770712996,142.2884805724,695.7881311943
Juneau,0,29,1.522713705,1.4564207305,1.4056421326,12.4648721027,5.0843931802,4.4534788239,7.8688365687,52.821415885,9.9691231308,9.20965176,21.0150674553,125.477372898,18.1592738409,17.2578593429,55.2773125127,297.9001044026,28.2912373782,28.4084477114,112.77031479,564.5761977946
Juneau,0,29,1.4429264448,1.1799351274,1.1557739175,10.8046910757,4.9367345293,4.2055514629,7.2189862914,49.0632447442,9.9891248176,8.2835390771,19.9803286914,120.0189421196,18.2886200397,15.5055327828,50.8144445402,276.0744341449,28.3428921056,25.4308212232,103.1903123252,521.3623096659
Juneau,0,29,1.3730499918,1.3070870097,1.149038945,10.8274710945,4.5079886847,4.442194489,6.9261220429,47.0955864731,9.2459177939,8.7583091592,19.1684385489,115.7282858262,17.1526080165,15.235772528,47.596124403,260.4065032959,27.021563579,24.7079537912,95.8509889012,487.9965885984
Juneau,0,30,1.4810364085,1.1966224217,1.1358427482,10.5956115085,5.0495566967,4.4520869679,7.6071622302,51.2881809522,10.0071526638,9.3357744002,21.7769943278,129.5187941357,18.2881052048,15.8441939222,52.4583117671,284.2579169557,28.5054744996,25.2397526232,105.3177539868,530.956968549
Juneau,0,30,1.6511908281,1.5399066662,1.6261796734,14.0375352181,5.4408472658,5.0946647666,9.3887556816,61.6921835749,10.7953463517,9.5945950872,24.236158754,142.5223778164,19.2843501239,18.9118122629,63.6655448696,337.9087452008,29.8653747154,29.1650607042,125.8666819348,623.1731882318
Juneau,0,30,1.3861509845,1.488668457,1.3769341415,12.4050509553,4.7747760254,4.6794383882,7.7625153016,52.0232916084,9.6577442149,10.0165456177,22.4190613731,133.0191788389,17.5037403113,18.4378069421,57.0114182594,306.1131523828,27.0982655358,28.2077856994,110.575110444,554.7872119122
Juneau,0,31,1.337700202,1.3273533478,1.1871578965,10.9537902084,4.6508907949,4.4078034465,7.3852315112,49.9838190285,9.2523140487,9.0333359468,20.3279539754,121.8203443773,17.2678367178,16.9480864656,52.5190828894,284.5527671322,27.0081636968,26.8838446158,103.735047192,523.7871655607
Juneau,0,31,1.4031503704,1.4976496426,1.350478005,12.154258431,4.9606621583,5.2984986961,8.8188846204,58.4056797437,10.0838301524,10.6387596166,24.1309656437,141.971158698,18.368340408,18.5143963016,59.2604886695,316.8675073714,28.6284583028,29.5573652914,117.5738492972,586.1720002145
Juneau,0,31,1.304122091,1.303320554,1.0334027517,10.017329472,4.3247933027,4.251244363,6.177371168,42.635192843,8.7934512503,8.6821503535,17.7834664788,108.2754575131,16.3107226716,15.6059929304,45.9566104158,252.3596441794,25.7903033576,24.50643008,89.3349373028,458.1191866143
Juneau,0,32,1.5519197348,1.5091081683,1.5259447371,13.2881289443,5.119699067,4.6115399556,8.1525698548,54.4200350189,9.9392702155,9.1201718017,21.7708190192,129.6449373904,18.0435433977,17.0304248522,56.0851640917,301.6520906165,28.0980470288,28.0328620622,113.3695186004,567.3143822986
Juneau,0,32,1.1917544896,1.1323017534,0.9292173521,9.2101375002,4.639898414,4.5301796649,7.3414749096,49.7262028089,9.3703033139,8.7159688962,18.8870164063,114.0572246679,17.2475424479,14.9426769596,46.6043908187,255.5914555314,27.239054303,24.1086241886,93.4013834044,476.7891765017
Juneau,0,33,1.8462438353,1.4536665662,1.7397388043,14.7375244737,5.58830076,5.1099621991,9.6121125853,62.8602144175,10.786677239,9.7876712782,24.3414495719,143.1786014414,19.2759944907,17.6328052155,61.8741052929,329.4175552899,NA,NA,NA,NA
Juneau,0,33,1.4193464004,1.3517867063,1.2670073888,11.5778446415,4.859179768,4.6489135189,7.5957960684,51.2214684562,9.5063277895,9.9370324095,22.1628032226,131.5069881034,17.4701489238,17.7848757234,55.8431788937,300.5336497696,27.2951594518,27.9424612706,112.1397137472,561.8302516951
Juneau,0,34,1.5854489163,1.3429818653,1.3758378941,12.2599930669,5.2597290689,4.7678644287,8.5283367375,56.6061019988,10.3348035553,9.6329744474,23.9483762139,141.1187105003,18.6220257566,17.9638835381,59.9364213822,320.1539094426,28.941166625,27.8261204298,115.6498110292,577.550639505
Juneau,0,34,1.6369441272,1.3810593295,1.4653706565,12.9427506636,5.4381418489,4.6250860947,8.955211619,59.1359553787,10.641176619,9.3565451292,24.509366349,143.8482342254,19.0386763956,15.7123747481,59.2658301492,316.9889891954,29.5511597026,25.1601297468,116.4657429328,581.2532704409
Juneau,0,35,1.748379637,1.6294096639,1.8207533213,15.2825539559,5.5129254302,5.1561864283,9.7083154764,63.4692569832,10.8217673617,10.6391415358,26.5402635382,154.4865964856,19.4194890123,19.3391953253,68.3844927221,360.4781133826,30.1712764488,30.0509829586,132.9636583108,654.6010909209
Juneau,0,35,1.5933109876,1.4961688491,1.5687863499,13.6479304641,5.1950166056,4.7365303379,8.5420692825,56.8018814262,10.2659093535,9.231414781,23.084813161,136.4761127574,18.6700569185,15.8950455696,55.1791459292,297.2331068762,29.065404205,24.4079572542,106.7177319648,537.3352418899
Juneau,0,35,1.6541776657,1.5485745327,1.6464327353,14.2424182351,5.4988551875,4.9593932695,9.282861819,60.8526922294,10.6998559185,9.962694741,24.3821694271,143.3394488023,19.2120073275,17.881458047,61.3406062411,326.8699334587,29.5614484424,28.2876197596,118.9134322736,592.2108940118
